Date,time_days_from_20190113,ZK204_obs_delta_h_m,ZK204_sim_delta_h_m,ZK204_residual_m,ZK206_obs_delta_h_m,ZK206_sim_delta_h_m,ZK206_residual_m,ZK207_obs_delta_h_m,ZK207_sim_delta_h_m,ZK207_residual_m,ZK401_obs_delta_h_m,ZK401_sim_delta_h_m,ZK401_residual_m,ZK402_obs_delta_h_m,ZK402_sim_delta_h_m,ZK402_residual_m
2019-04-23,100.0,2.19,-0.08479396705115505,-2.274793967051155,-8.66,-1.561672797994106,7.098327202005894,-25.95,-1.4893618951091412,24.460638104890858,3.38,2.0987837165821475,-1.2812162834178524,-0.13,1.6441389621713824,1.7741389621713823
2019-04-29,106.0,0.13,-0.09904244752260638,-0.22904244752260638,-5.23,-1.5491765352885523,3.680823464711448,-29.06,-1.4753809064095549,27.584619093590444,2.38,2.078205722507846,-0.3017942774921538,-0.17,1.6279433380459523,1.7979433380459522
2019-05-08,115.0,2.19,-0.12105921226338978,-2.3110592122633897,-13.99,-1.5645388698630995,12.4254611301369,-26.98,-1.4939784393918671,25.486021560608133,2.31,2.1034422184129653,-0.20655778158703475,-0.18,1.64761197246753,1.82761197246753
2019-05-16,123.0,2.19,-0.14078027732421106,-2.330780277324211,-9.11,-1.5673501208971174,7.542649879102882,-26.98,-1.4967433456522485,25.483256654347752,2.54,2.106422476251282,-0.43357752374871783,0.0,1.6498629599991546,1.6498629599991546
2019-05-23,130.0,-0.89,-0.15835463889516177,0.7316453611048382,-9.11,-1.5672475974097324,7.542752402590267,-22.83,-1.4955561581673464,21.334443841832652,2.17,2.1040160467809983,-0.06598395321900163,-0.2,1.6479131224032244,1.8479131224032244
2019-05-29,136.0,0.13,-0.1734932913227567,-0.3034932913227567,-9.48,-1.5675417647057657,7.912458235294235,-25.95,-1.4955219338971801,24.45447806610282,2.31,2.1033389296817404,-0.20666107031825964,-0.13,1.6473279034808002,1.7773279034808
2019-06-05,143.0,0.11,-0.19119796586528537,-0.30119796586528536,-11.58,-1.5630396193437264,10.016960380656274,-26.98,-1.4890013503754744,25.490998649624526,2.31,2.0933998894670367,-0.21660011053296335,-0.23,1.639487503500277,1.869487503500277
2019-06-12,150.0,0.13,-0.2089316454407708,-0.3389316454407708,-8.66,-1.5637331738521425,7.096266826147858,-28.02,-1.4925252781049494,26.52747472189505,2.31,2.0977092801267645,-0.21229071987323556,-0.23,1.6427921971408068,1.8727921971408068
2019-06-19,157.0,0.11,-0.22656582249328494,-0.3365658224932849,-8.17,-1.569205023426548,6.600794976573452,-25.95,-1.4949699250610138,24.455030074938986,2.31,2.1005049863570093,-0.20949501364299072,-0.12,1.644949307054958,1.764949307054958
2019-06-27,165.0,0.13,-0.2466273784330042,-0.3766273784330042,-9.94,-1.5459225806180257,8.394077419381974,-26.98,-1.4944680122816862,25.485531987718314,2.38,2.099475198379878,-0.28052480162012206,-0.15,1.64392861241231,1.79392861241231
2019-07-02,170.0,-0.89,-0.2632847737781958,0.6267152262218042,-8.28,-4.984386329462268,3.2956136705377315,-28.02,-1.6052492152248306,26.41475078477517,2.38,2.206499131534656,-0.17350086846534385,0.15,1.7502667801682037,1.6002667801682038
2019-07-05,173.0,-0.89,-0.26367952689224694,0.6263204731077531,-1.56,-1.6364782734858636,-0.07647827348586356,-28.02,-1.493826110741793,26.526173889258207,2.38,2.100110345279063,-0.27988965472093685,-0.05,1.6445631282831528,1.6945631282831528
2019-07-09,177.0,6.3,-0.2770279406931877,-6.5770279406931875,-1.31,-1.5756024518377671,-0.2656024518377671,-28.02,-1.4999814069642525,26.520018593035747,2.46,2.103171405764442,-0.3568285942355578,-0.25,1.6466118604585063,1.8966118604585063
2019-07-12,180.0,5.28,-0.2859041344790967,-5.565904134479097,-1.05,-1.566502159681022,-0.516502159681022,-28.02,-1.4965562922425306,26.52344370775747,2.46,2.098378967886674,-0.36162103211332575,-0.2,1.642826426497777,1.842826426497777
2019-07-16,184.0,5.28,-0.294240077822451,-5.574240077822451,-0.19,-1.555553528317887,-1.365553528317887,-28.02,-1.4790467274251569,26.540953272574843,2.46,2.073304961540998,-0.38669503845900177,-0.05,1.623222039906068,1.673222039906068
2019-07-19,187.0,0.13,-0.2995945616530662,-0.4295945616530662,-1.31,-1.564227040264086,-0.25422704026408605,-28.02,-1.4968838521781436,26.523116147821856,2.46,2.0983595159314063,-0.3616404840685936,-0.15,1.6428051369530294,1.7928051369530293
2019-07-22,190.0,1.16,-0.30523743337334963,-1.4652374333733496,-1.31,-1.5486081111152998,-0.23860811111529978,-28.02,-1.4937492881772414,26.526250711822758,2.46,2.094512039302572,-0.36548796069742817,-0.2,1.639694314539156,1.839694314539156
2019-07-24,192.0,3.22,-0.30939194713619145,-3.5293919471361916,-1.05,-1.5684266983448651,-0.5184266983448651,-27.95,-1.4977026646674858,26.452297335332513,2.46,2.099692124136709,-0.36030787586329094,-0.15,1.6438619955642935,1.7938619955642934
2019-07-29,197.0,0.13,-0.3211622376311425,-0.4511622376311425,-1.05,-1.5705217988520417,-0.5205217988520416,-27.99,-1.4986266904888907,26.491373309511108,2.46,2.1009366172547743,-0.35906338274522565,-0.05,1.6448337123920282,1.6948337123920283
