Date,time_days_from_20190113,ZK204_obs_delta_h_m,ZK204_sim_delta_h_m,ZK204_residual_m,ZK206_obs_delta_h_m,ZK206_sim_delta_h_m,ZK206_residual_m,ZK207_obs_delta_h_m,ZK207_sim_delta_h_m,ZK207_residual_m,ZK401_obs_delta_h_m,ZK401_sim_delta_h_m,ZK401_residual_m,ZK402_obs_delta_h_m,ZK402_sim_delta_h_m,ZK402_residual_m
2019-04-02,79.0,-0.61,-0.04238887001019975,0.5676111299898002,-1.56,-1.38983298966059,0.17016701033940995,-20.76,-1.4916259741557951,19.268374025844206,1.25,2.1032641631118167,0.8532641631118167,-0.04,1.6467111604997626,1.6867111604997627
2019-04-09,86.0,-1.03,-0.05642051716449714,0.9735794828355029,-16.2,-1.3302121438118775,14.869787856188122,-23.87,-1.4275186690892951,22.442481330910706,2.38,2.0109709711068717,-0.36902902889312816,-0.1,1.5743044372457007,1.6743044372457008
2019-04-17,94.0,1.16,-0.0736231871101154,-1.2336231871101153,-2.61,-1.3904542836567089,1.219545716343291,-28.02,-1.4921978798429336,26.527802120157066,2.38,2.1021198699791057,-0.2778801300208942,-0.17,1.645653604880863,1.815653604880863
2019-04-23,100.0,2.19,-0.08675822981285819,-2.276758229812858,-8.66,-1.3853296285951728,7.274670371404827,-25.95,-1.4866602222764413,24.463339777723558,3.38,2.093326964059088,-1.286673035940912,-0.13,1.638683087053323,1.768683087053323
2019-04-29,106.0,0.13,-0.10120244955487578,-0.2312024495548758,-5.23,-1.3723934411314076,3.857606558868593,-29.06,-1.4727453382874955,27.587254661712503,2.38,2.0727374196931123,-0.3072625803068876,-0.17,1.62247590770221,1.7924759077022099
2019-05-08,115.0,2.19,-0.12341402820311487,-2.313414028203115,-13.99,-1.3896913646567555,12.600308635343245,-26.98,-1.4912881129866946,25.488711887013306,2.31,2.098023383241525,-0.2119766167584749,-0.18,1.642194017897964,1.8221940178979639
2019-05-16,123.0,2.19,-0.14333390923002298,-2.333333909230023,-9.11,-1.3922985794456508,7.717701420554349,-26.98,-1.4940576499511735,25.485942350048827,2.54,2.100994951722896,-0.43900504827710396,0.0,1.6444363177624837,1.6444363177624837
2019-05-23,130.0,-0.89,-0.1610623308229151,0.7289376691770849,-9.11,-1.391240925076545,7.7187590749234545,-22.83,-1.4928974809372448,21.337102519062753,2.17,2.098560936078684,-0.07143906392131605,-0.2,1.6424588956842854,1.8424588956842853
2019-05-29,136.0,0.13,-0.1763276328711072,-0.3063276328711072,-9.48,-1.3912270807577443,8.088772919242256,-25.95,-1.4928623881514795,24.45713761184852,2.31,2.09787424739352,-0.21212575260648014,-0.13,1.6418641044456308,1.7718641044456307
2019-06-05,143.0,0.11,-0.19417593022717483,-0.3041759302271748,-11.58,-1.3851702401598232,10.194829759840177,-26.98,-1.486333714423381,25.49366628557662,2.31,2.0878913285596354,-0.2221086714403646,-0.23,1.6339798185572363,1.8639798185572363
2019-06-12,150.0,0.13,-0.21204851484890241,-0.3420485148489024,-8.66,-1.388458830714626,7.271541169285374,-28.02,-1.4898497096219216,26.530150290378078,2.31,2.092274012536109,-0.21772598746389127,-0.23,1.637357807522676,1.867357807522676
2019-06-19,157.0,0.11,-0.22981801093828835,-0.33981801093828834,-8.17,-1.3906787558908036,6.779321244109196,-25.95,-1.49220456576586,24.45779543423414,2.31,2.0949743549736013,-0.21502564502639876,-0.12,1.639419543490476,1.759419543490476
2019-06-27,165.0,0.13,-0.2500029487223401,-0.3800029487223401,-9.94,-1.3907184322392823,8.549281567760717,-26.98,-1.4922943799028872,25.487705620097113,2.38,2.094619041469741,-0.2853809585302587,-0.15,1.6390733987800559,1.7890733987800558
2019-07-02,170.0,-0.89,-0.26996486662619645,0.6200351333738036,-8.28,-1.4233109976225933,6.856689002377406,-28.02,-1.5174206740775844,26.502579325922415,2.38,2.103098806252092,-0.276901193747908,0.15,1.646856439367184,1.4968564393671842
2019-07-05,173.0,-0.89,-0.2666113203481473,0.6233886796518527,-1.56,-1.3926988472080666,0.16730115279193347,-28.02,-1.4942500296720027,26.525749970327997,2.38,2.0926712956934352,-0.28732870430656465,-0.05,1.6371252742192155,1.6871252742192155
2019-07-09,177.0,6.3,-0.2811479363303988,-6.581147936330399,-1.31,-1.3957515893162054,-0.0857515893162053,-28.02,-1.4974981263148948,26.522501873685105,2.46,2.0975531284029785,-0.3624468715970215,-0.25,1.6409944709830597,1.8909944709830597
2019-07-12,180.0,5.28,-0.2896557240742368,-5.569655724074237,-1.05,-1.3926012251631619,-0.3426012251631618,-28.02,-1.4941364867490847,26.525863513250915,2.46,2.0929493373205332,-0.36705066267946673,-0.2,1.6373976950317228,1.8373976950317228
2019-07-16,184.0,5.28,-0.29768277708217283,-5.577682777082173,-0.19,-1.3760706626176216,-1.1860706626176216,-28.02,-1.4763680403757462,26.543631959624253,2.46,2.067726484783634,-0.3922735152163659,-0.05,1.6176444174179778,1.6676444174179779
2019-07-19,187.0,0.13,-0.30303745397395687,-0.4330374539739569,-1.31,-1.3926066014055323,-0.08260660140553222,-28.02,-1.4941353305803204,26.52586466941968,2.46,2.0930051710001862,-0.3669948289998137,-0.15,1.6374516545574807,1.7874516545574806
2019-07-22,190.0,1.16,-0.3087627001432338,-1.4687627001432337,-1.31,-1.3902245758176832,-0.08022457581768316,-28.02,-1.4916317845436424,26.528368215456357,2.46,2.089551569123614,-0.3704484308763858,-0.2,1.6347347872269893,1.8347347872269892
2019-07-24,192.0,3.22,-0.31304716080649087,-3.533047160806491,-1.05,-1.3934634798174557,-0.3434634798174556,-27.95,-1.495055873635465,26.454944126364534,2.46,2.094251282181176,-0.3657487178188239,-0.15,1.6384220330392054,1.7884220330392053
2019-07-29,197.0,0.13,-0.32509094924398596,-0.45509094924398596,-1.05,-1.394339565512837,-0.34433956551283695,-27.99,-1.4959927683075875,26.49400723169241,2.46,2.0954644211551567,-0.3645355788448432,-0.05,1.6393623985486556,1.6893623985486557
