time,time_days,file,well,node_id,x,y,z,pressure_Pa,head_m,head_initial_m,delta_head_m,delta_pressure_Pa,delta_pressure_MPa
864000.0,10.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_10_t_864000.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-1.7928384262298547,3820.9835970157606,3820.983779771971,-0.00018275621050634072,-1.7928384262298547,-1.7928384262298547e-06
950400.0,11.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_11_t_950400.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,1.119687125302401,3820.983893909293,3820.983779771971,0.00011413732181608793,1.119687125302401,1.119687125302401e-06
1036800.0,12.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_12_t_1036800.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,2.232006223595498,3820.9840072955412,3820.983779771971,0.00022752357017452596,2.232006223595498,2.232006223595498e-06
1123200.0,13.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_13_t_1123200.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-1.8305263400840597,3820.9835931739754,3820.983779771971,-0.00018659799570741598,-1.8305263400840597,-1.8305263400840597e-06
1209600.0,14.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_14_t_1209600.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-0.7342476505684135,3820.983704925116,3820.983779771971,-7.484685511371936e-05,-0.7342476505684135,-7.342476505684135e-07
1296000.0,15.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_15_t_1296000.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,1.7722662760752046,3820.9839604311223,3820.983779771971,0.0001806591512831801,1.7722662760752046,1.7722662760752047e-06
1382400.0,16.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_16_t_1382400.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,0.5890734160521607,3820.9838398202296,3820.983779771971,6.0048258546885336e-05,0.5890734160521607,5.890734160521606e-07
1468800.0,17.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_17_t_1468800.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-3.673835445548156,3820.983405272945,3820.983779771971,-0.0003744990258383041,-3.673835445548156,-3.673835445548156e-06
1555200.0,18.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_18_t_1555200.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,1.0033559622251134,3820.983882050866,3820.983779771971,0.00010227889515590505,1.0033559622251134,1.0033559622251133e-06
1641600.0,19.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_19_t_1641600.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-4.188604487313615,3820.9833527990368,3820.983779771971,-0.0004269729342922801,-4.188604487313615,-4.188604487313615e-06
1728000.0,20.0,Yangyi_2D_k9_k10_2e-10_k12_2p2e-12_ts_20_t_1728000.000000.vtu,ZK204,10610,246194.7349199081,3290951.441995206,3820.983779771971,-2.7369361797479583,3820.9835007774573,3820.983779771971,-0.0002789945137919858,-2.7369361797479583,-2.7369361797479585e-06
